GrossProfit,Date
188300000,1986-11-30 00:00:00
259000000,1987-11-30 00:00:00
272800000,1988-11-30 00:00:00
487800000,1989-11-30 00:00:00
576200000,1990-11-30 00:00:00
594400000,1991-11-30 00:00:00
608000000,1992-11-30 00:00:00
649000000,1993-11-30 00:00:00
777541000,1994-11-30 00:00:00
867037000,1995-11-30 00:00:00
971303000,1996-11-30 00:00:00
1124799000,1997-11-30 00:00:00
1389929000,1998-11-30 00:00:00
1634834000,1999-11-30 00:00:00
1720200000,2000-11-30 00:00:00
2067021000,2001-11-30 00:00:00
2056350000,2002-11-30 00:00:00
2900000000,2003-11-30 00:00:00
4270000000,2004-11-30 00:00:00
4870000000,2005-11-30 00:00:00
5048000000,2006-11-30 00:00:00
5405000000,2007-11-30 00:00:00
5607000000,2008-11-30 00:00:00
5053000000,2009-11-30 00:00:00
5377000000,2010-11-30 00:00:00
5494000000,2011-11-30 00:00:00
5062000000,2012-11-30 00:00:00
4832000000,2013-11-30 00:00:00
5481000000,2014-11-30 00:00:00
6267000000,2015-11-30 00:00:00
7006000000,2016-11-30 00:00:00
7009000000,2017-11-30 00:00:00
7792000000,2018-11-30 00:00:00
7916000000,2019-11-30 00:00:00
